STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA;VALIDITA
AR-REPUBBLICA;PM10;20200101;64;1
AR-REPUBBLICA;PM10;20200102;59;1
AR-REPUBBLICA;PM10;20200103;48;1
AR-REPUBBLICA;PM10;20200104;63;1
AR-REPUBBLICA;PM10;20200105;24;1
AR-REPUBBLICA;PM10;20200106;22;1
AR-REPUBBLICA;PM10;20200107;49;1
AR-REPUBBLICA;PM10;20200108;70;1
AR-REPUBBLICA;PM10;20200109;60;1
AR-REPUBBLICA;PM10;20200110;78;1
AR-REPUBBLICA;PM10;20200111;40;1
AR-REPUBBLICA;PM10;20200112;32;1
AR-REPUBBLICA;PM10;20200113;48;1
AR-REPUBBLICA;PM10;20200114;75;1
AR-REPUBBLICA;PM10;20200115;76;1
AR-REPUBBLICA;PM10;20200116;NaN;0
AR-REPUBBLICA;PM10;20200117;54;1
AR-REPUBBLICA;PM10;20200118;27;1
AR-REPUBBLICA;PM10;20200119;14;1
AR-REPUBBLICA;PM10;20200120;16;1
AR-REPUBBLICA;PM10;20200121;29;1
AR-REPUBBLICA;PM10;20200122;52;1
AR-REPUBBLICA;PM10;20200123;64;1
AR-REPUBBLICA;PM10;20200124;70;1
AR-REPUBBLICA;PM10;20200125;40;1
AR-REPUBBLICA;PM10;20200126;40;1
AR-REPUBBLICA;PM10;20200127;38;1
AR-REPUBBLICA;PM10;20200128;19;1
AR-REPUBBLICA;PM10;20200129;31;1
AR-REPUBBLICA;PM10;20200130;41;1
AR-REPUBBLICA;PM10;20200131;42;1
AR-REPUBBLICA;PM10;20200201;38;1
AR-REPUBBLICA;PM10;20200202;17;1
AR-REPUBBLICA;PM10;20200203;33;1
AR-REPUBBLICA;PM10;20200204;27;1
AR-REPUBBLICA;PM10;20200205;20;1
AR-REPUBBLICA;PM10;20200206;20;1
AR-REPUBBLICA;PM10;20200207;33;1
AR-REPUBBLICA;PM10;20200208;65;1
AR-REPUBBLICA;PM10;20200209;49;1
AR-REPUBBLICA;PM10;20200210;29;1
AR-REPUBBLICA;PM10;20200211;31;1
AR-REPUBBLICA;PM10;20200212;35;1
AR-REPUBBLICA;PM10;20200213;27;1
AR-REPUBBLICA;PM10;20200214;21;1
AR-REPUBBLICA;PM10;20200215;27;1
AR-REPUBBLICA;PM10;20200216;30;1
AR-REPUBBLICA;PM10;20200217;29;1
AR-REPUBBLICA;PM10;20200218;22;1
AR-REPUBBLICA;PM10;20200219;NaN;0
AR-REPUBBLICA;PM10;20200220;25;1
AR-REPUBBLICA;PM10;20200221;39;1
AR-REPUBBLICA;PM10;20200222;41;1
AR-REPUBBLICA;PM10;20200223;31;1
AR-REPUBBLICA;PM10;20200224;35;1
AR-REPUBBLICA;PM10;20200225;24;1
AR-REPUBBLICA;PM10;20200226;14;1
AR-REPUBBLICA;PM10;20200227;14;1
AR-REPUBBLICA;PM10;20200228;19;1
AR-REPUBBLICA;PM10;20200229;24;1
AR-REPUBBLICA;PM10;20200301;18;1
AR-REPUBBLICA;PM10;20200302;11;1
AR-REPUBBLICA;PM10;20200303;12;1
AR-REPUBBLICA;PM10;20200304;22;1
AR-REPUBBLICA;PM10;20200305;NaN;0
AR-REPUBBLICA;PM10;20200306;19;1
