STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
AR-REPUBBLICA;PM10;20210101;25;1
AR-REPUBBLICA;PM10;20210102;9;1
AR-REPUBBLICA;PM10;20210103;16;1
AR-REPUBBLICA;PM10;20210104;17;1
AR-REPUBBLICA;PM10;20210105;18;1
AR-REPUBBLICA;PM10;20210106;16;1
AR-REPUBBLICA;PM10;20210107;38;1
AR-REPUBBLICA;PM10;20210108;23;1
AR-REPUBBLICA;PM10;20210109;12;1
AR-REPUBBLICA;PM10;20210110;6;1
AR-REPUBBLICA;PM10;20210111;13;1
AR-REPUBBLICA;PM10;20210112;29;1
AR-REPUBBLICA;PM10;20210113;42;1
AR-REPUBBLICA;PM10;20210114;33;1
AR-REPUBBLICA;PM10;20210115;16;1
AR-REPUBBLICA;PM10;20210116;23;1
AR-REPUBBLICA;PM10;20210117;34;1
AR-REPUBBLICA;PM10;20210118;40;1
AR-REPUBBLICA;PM10;20210119;60;1
AR-REPUBBLICA;PM10;20210120;41;1
AR-REPUBBLICA;PM10;20210121;25;1
AR-REPUBBLICA;PM10;20210122;8;1
AR-REPUBBLICA;PM10;20210123;13;1
AR-REPUBBLICA;PM10;20210124;14;1
AR-REPUBBLICA;PM10;20210125;14;1
AR-REPUBBLICA;PM10;20210126;31;1
AR-REPUBBLICA;PM10;20210127;50;1
AR-REPUBBLICA;PM10;20210128;61;1
AR-REPUBBLICA;PM10;20210129;44;1
AR-REPUBBLICA;PM10;20210130;20;1
AR-REPUBBLICA;PM10;20210131;8;1
AR-REPUBBLICA;PM10;20210201;35;1
AR-REPUBBLICA;PM10;20210202;38;1
AR-REPUBBLICA;PM10;20210203;33;1
AR-REPUBBLICA;PM10;20210204;39;1
AR-REPUBBLICA;PM10;20210205;45;1
AR-REPUBBLICA;PM10;20210206;50;1
AR-REPUBBLICA;PM10;20210207;30;1
AR-REPUBBLICA;PM10;20210208;9;1
AR-REPUBBLICA;PM10;20210209;10;1
AR-REPUBBLICA;PM10;20210210;15;1
AR-REPUBBLICA;PM10;20210211;27;1
AR-REPUBBLICA;PM10;20210212;18;1
