STAZIONE;PARAMETRO;DATA;MEDIA GIORNALIERA;VALIDITA
AR-REPUBBLICA;PM10;20220101;47;1
AR-REPUBBLICA;PM10;20220102;21;1
AR-REPUBBLICA;PM10;20220103;22;1
AR-REPUBBLICA;PM10;20220104;16;1
AR-REPUBBLICA;PM10;20220105;8;1
AR-REPUBBLICA;PM10;20220106;2;1
AR-REPUBBLICA;PM10;20220107;12;1
AR-REPUBBLICA;PM10;20220108;26;1
AR-REPUBBLICA;PM10;20220109;28;1
AR-REPUBBLICA;PM10;20220110;11;1
AR-REPUBBLICA;PM10;20220111;18;1
AR-REPUBBLICA;PM10;20220112;19;1
AR-REPUBBLICA;PM10;20220113;20;1
AR-REPUBBLICA;PM10;20220114;37;1
AR-REPUBBLICA;PM10;20220115;50;1
AR-REPUBBLICA;PM10;20220116;55;1
AR-REPUBBLICA;PM10;20220117;44;1
AR-REPUBBLICA;PM10;20220118;63;1
AR-REPUBBLICA;PM10;20220119;57;1
AR-REPUBBLICA;PM10;20220120;37;1
AR-REPUBBLICA;PM10;20220121;33;1
AR-REPUBBLICA;PM10;20220122;31;1
AR-REPUBBLICA;PM10;20220123;54;1
AR-REPUBBLICA;PM10;20220124;32;1
AR-REPUBBLICA;PM10;20220125;34;1
AR-REPUBBLICA;PM10;20220126;56;1
AR-REPUBBLICA;PM10;20220127;54;1
AR-REPUBBLICA;PM10;20220128;24;1
AR-REPUBBLICA;PM10;20220129;38;1
AR-REPUBBLICA;PM10;20220130;36;1
AR-REPUBBLICA;PM10;20220131;37;1
AR-REPUBBLICA;PM10;20220201;25;1
AR-REPUBBLICA;PM10;20220202;45;1
AR-REPUBBLICA;PM10;20220203;53;1
AR-REPUBBLICA;PM10;20220204;55;1
AR-REPUBBLICA;PM10;20220205;43;1
AR-REPUBBLICA;PM10;20220206;26;1
AR-REPUBBLICA;PM10;20220207;20;1
AR-REPUBBLICA;PM10;20220208;NaN;0
AR-REPUBBLICA;PM10;20220209;48;1
AR-REPUBBLICA;PM10;20220210;39;1
AR-REPUBBLICA;PM10;20220211;40;1
AR-REPUBBLICA;PM10;20220212;17;1
AR-REPUBBLICA;PM10;20220213;23;1
AR-REPUBBLICA;PM10;20220214;26;1
AR-REPUBBLICA;PM10;20220215;19;1
AR-REPUBBLICA;PM10;20220216;32;1
AR-REPUBBLICA;PM10;20220217;32;1
AR-REPUBBLICA;PM10;20220218;34;1
AR-REPUBBLICA;PM10;20220219;30;1
AR-REPUBBLICA;PM10;20220220;31;1
AR-REPUBBLICA;PM10;20220221;18;1
AR-REPUBBLICA;PM10;20220222;17;1
AR-REPUBBLICA;PM10;20220223;26;1
AR-REPUBBLICA;PM10;20220224;25;1
AR-REPUBBLICA;PM10;20220225;28;1
AR-REPUBBLICA;PM10;20220226;8;1
