STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
FI-MOSSE;PM10;20210101;20;1
FI-MOSSE;PM10;20210102;6;1
FI-MOSSE;PM10;20210103;6;1
FI-MOSSE;PM10;20210104;8;1
FI-MOSSE;PM10;20210105;10;1
FI-MOSSE;PM10;20210106;10;1
FI-MOSSE;PM10;20210107;25;1
FI-MOSSE;PM10;20210108;20;1
FI-MOSSE;PM10;20210109;14;1
FI-MOSSE;PM10;20210110;8;1
FI-MOSSE;PM10;20210111;15;1
FI-MOSSE;PM10;20210112;25;1
FI-MOSSE;PM10;20210113;NaN;0
FI-MOSSE;PM10;20210114;49;1
FI-MOSSE;PM10;20210115;23;1
FI-MOSSE;PM10;20210116;23;1
FI-MOSSE;PM10;20210117;32;1
FI-MOSSE;PM10;20210118;33;1
FI-MOSSE;PM10;20210119;60;1
FI-MOSSE;PM10;20210120;69;1
FI-MOSSE;PM10;20210121;26;1
FI-MOSSE;PM10;20210122;3;1
FI-MOSSE;PM10;20210123;5;1
FI-MOSSE;PM10;20210124;12;1
FI-MOSSE;PM10;20210125;18;1
FI-MOSSE;PM10;20210126;30;1
FI-MOSSE;PM10;20210127;39;1
FI-MOSSE;PM10;20210128;69;1
FI-MOSSE;PM10;20210129;66;1
FI-MOSSE;PM10;20210130;37;1
FI-MOSSE;PM10;20210131;4;1
FI-MOSSE;PM10;20210201;20;1
FI-MOSSE;PM10;20210202;28;1
FI-MOSSE;PM10;20210203;39;1
FI-MOSSE;PM10;20210204;40;1
FI-MOSSE;PM10;20210205;38;1
FI-MOSSE;PM10;20210206;44;1
FI-MOSSE;PM10;20210207;37;1
FI-MOSSE;PM10;20210208;7;1
FI-MOSSE;PM10;20210209;8;1
FI-MOSSE;PM10;20210210;14;1
FI-MOSSE;PM10;20210211;26;1
FI-MOSSE;PM10;20210212;16;1
FI-MOSSE;PM10;20210213;18;1
FI-MOSSE;PM10;20210214;22;1
FI-MOSSE;PM10;20210215;28;1
FI-MOSSE;PM10;20210216;32;1
FI-MOSSE;PM10;20210217;10;1
FI-MOSSE;PM10;20210218;25;1
FI-MOSSE;PM10;20210219;25;1
FI-MOSSE;PM10;20210220;28;1
FI-MOSSE;PM10;20210221;26;1
FI-MOSSE;PM10;20210222;39;1
FI-MOSSE;PM10;20210223;43;1
FI-MOSSE;PM10;20210224;57;1
FI-MOSSE;PM10;20210225;68;1
FI-MOSSE;PM10;20210226;65;1
FI-MOSSE;PM10;20210227;51;1
FI-MOSSE;PM10;20210228;13;1
FI-MOSSE;PM10;20210301;16;1
FI-MOSSE;PM10;20210302;26;1
FI-MOSSE;PM10;20210303;33;1
