STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA;VALIDITA
FI-MOSSE;PM10;20230101;52;1
FI-MOSSE;PM10;20230102;37;1
FI-MOSSE;PM10;20230103;54;1
FI-MOSSE;PM10;20230104;43;1
FI-MOSSE;PM10;20230105;30;1
FI-MOSSE;PM10;20230106;28;1
FI-MOSSE;PM10;20230107;36;1
FI-MOSSE;PM10;20230108;15;1
FI-MOSSE;PM10;20230109;22;1
FI-MOSSE;PM10;20230110;36;1
FI-MOSSE;PM10;20230111;48;1
FI-MOSSE;PM10;20230112;36;1
FI-MOSSE;PM10;20230113;61;1
FI-MOSSE;PM10;20230114;56;1
FI-MOSSE;PM10;20230115;44;1
FI-MOSSE;PM10;20230116;17;1
FI-MOSSE;PM10;20230117;NaN;0
FI-MOSSE;PM10;20230118;11;1
FI-MOSSE;PM10;20230119;20;1
FI-MOSSE;PM10;20230120;27;1
FI-MOSSE;PM10;20230121;15;1
FI-MOSSE;PM10;20230122;10;1
FI-MOSSE;PM10;20230123;13;1
FI-MOSSE;PM10;20230124;24;1
FI-MOSSE;PM10;20230125;17;1
FI-MOSSE;PM10;20230126;18;1
FI-MOSSE;PM10;20230127;12;1
FI-MOSSE;PM10;20230128;18;1
FI-MOSSE;PM10;20230129;20;1
FI-MOSSE;PM10;20230130;39;1
FI-MOSSE;PM10;20230131;47;1
FI-MOSSE;PM10;20230201;57;1
FI-MOSSE;PM10;20230202;47;1
FI-MOSSE;PM10;20230203;41;1
FI-MOSSE;PM10;20230204;33;1
FI-MOSSE;PM10;20230205;18;1
FI-MOSSE;PM10;20230206;15;1
FI-MOSSE;PM10;20230207;27;1
FI-MOSSE;PM10;20230208;26;1
FI-MOSSE;PM10;20230209;26;1
FI-MOSSE;PM10;20230210;21;1
FI-MOSSE;PM10;20230211;33;1
FI-MOSSE;PM10;20230212;47;1
FI-MOSSE;PM10;20230213;29;1
FI-MOSSE;PM10;20230214;60;1
FI-MOSSE;PM10;20230215;68;1
FI-MOSSE;PM10;20230216;70;1
FI-MOSSE;PM10;20230217;56;1
FI-MOSSE;PM10;20230218;32;1
FI-MOSSE;PM10;20230219;23;1
FI-MOSSE;PM10;20230220;34;1
FI-MOSSE;PM10;20230221;41;1
FI-MOSSE;PM10;20230222;49;1
FI-MOSSE;PM10;20230223;41;1
FI-MOSSE;PM10;20230224;46;1
FI-MOSSE;PM10;20230225;41;1
FI-MOSSE;PM10;20230226;10;1
FI-MOSSE;PM10;20230227;10;1
FI-MOSSE;PM10;20230228;16;1
FI-MOSSE;PM10;20230301;17;1
FI-MOSSE;PM10;20230302;17;1
FI-MOSSE;PM10;20230303;25;1
FI-MOSSE;PM10;20230304;21;1
FI-MOSSE;PM10;20230305;32;1
FI-MOSSE;PM10;20230306;33;1
FI-MOSSE;PM10;20230307;32;1
FI-MOSSE;PM10;20230308;32;1
FI-MOSSE;PM10;20230309;33;1
FI-MOSSE;PM10;20230310;39;1
FI-MOSSE;PM10;20230311;44;1
FI-MOSSE;PM10;20230312;28;1
FI-MOSSE;PM10;20230313;28;1
FI-MOSSE;PM10;20230314;25;1
FI-MOSSE;PM10;20230315;27;1
FI-MOSSE;PM10;20230316;15;1
FI-MOSSE;PM10;20230317;22;1
FI-MOSSE;PM10;20230318;29;1
FI-MOSSE;PM10;20230319;34;1
FI-MOSSE;PM10;20230320;17;1
FI-MOSSE;PM10;20230321;32;1
FI-MOSSE;PM10;20230322;36;1
FI-MOSSE;PM10;20230323;25;1
FI-MOSSE;PM10;20230324;22;1
FI-MOSSE;PM10;20230325;26;1
