STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
LI-CARDUCCI;PM10;20230101;36;1
LI-CARDUCCI;PM10;20230102;28;1
LI-CARDUCCI;PM10;20230103;32;1
LI-CARDUCCI;PM10;20230104;37;1
LI-CARDUCCI;PM10;20230105;31;1
LI-CARDUCCI;PM10;20230106;22;1
LI-CARDUCCI;PM10;20230107;23;1
LI-CARDUCCI;PM10;20230108;14;1
LI-CARDUCCI;PM10;20230109;24;1
LI-CARDUCCI;PM10;20230110;29;1
LI-CARDUCCI;PM10;20230111;28;1
LI-CARDUCCI;PM10;20230112;28;1
LI-CARDUCCI;PM10;20230113;20;1
LI-CARDUCCI;PM10;20230114;36;1
LI-CARDUCCI;PM10;20230115;15;1
LI-CARDUCCI;PM10;20230116;24;1
LI-CARDUCCI;PM10;20230117;13;1
LI-CARDUCCI;PM10;20230118;18;1
LI-CARDUCCI;PM10;20230119;10;1
LI-CARDUCCI;PM10;20230120;18;1
LI-CARDUCCI;PM10;20230121;27;1
LI-CARDUCCI;PM10;20230122;11;1
LI-CARDUCCI;PM10;20230123;9;1
LI-CARDUCCI;PM10;20230124;13;1
LI-CARDUCCI;PM10;20230125;13;1
LI-CARDUCCI;PM10;20230126;18;1
LI-CARDUCCI;PM10;20230127;17;1
LI-CARDUCCI;PM10;20230128;15;1
LI-CARDUCCI;PM10;20230129;16;1
LI-CARDUCCI;PM10;20230130;28;1
LI-CARDUCCI;PM10;20230131;41;1
LI-CARDUCCI;PM10;20230201;29;1
LI-CARDUCCI;PM10;20230202;35;1
LI-CARDUCCI;PM10;20230203;20;1
LI-CARDUCCI;PM10;20230204;30;1
LI-CARDUCCI;PM10;20230205;14;1
LI-CARDUCCI;PM10;20230206;16;1
LI-CARDUCCI;PM10;20230207;18;1
LI-CARDUCCI;PM10;20230208;20;1
LI-CARDUCCI;PM10;20230209;22;1
LI-CARDUCCI;PM10;20230210;33;1
LI-CARDUCCI;PM10;20230211;32;1
LI-CARDUCCI;PM10;20230212;30;1
LI-CARDUCCI;PM10;20230213;35;1
LI-CARDUCCI;PM10;20230214;44;1
LI-CARDUCCI;PM10;20230215;31;1
LI-CARDUCCI;PM10;20230216;41;1
LI-CARDUCCI;PM10;20230217;28;1
LI-CARDUCCI;PM10;20230218;28;1
LI-CARDUCCI;PM10;20230219;22;1
LI-CARDUCCI;PM10;20230220;29;1
LI-CARDUCCI;PM10;20230221;26;1
LI-CARDUCCI;PM10;20230222;28;1
LI-CARDUCCI;PM10;20230223;NaN;0
LI-CARDUCCI;PM10;20230224;NaN;0
LI-CARDUCCI;PM10;20230225;31;1
LI-CARDUCCI;PM10;20230226;9;1
LI-CARDUCCI;PM10;20230227;6;1
LI-CARDUCCI;PM10;20230228;11;1
LI-CARDUCCI;PM10;20230301;7;1
LI-CARDUCCI;PM10;20230302;13;1
LI-CARDUCCI;PM10;20230303;21;1
LI-CARDUCCI;PM10;20230304;29;1
LI-CARDUCCI;PM10;20230305;31;1
LI-CARDUCCI;PM10;20230306;21;1
LI-CARDUCCI;PM10;20230307;23;1
LI-CARDUCCI;PM10;20230308;24;1
LI-CARDUCCI;PM10;20230309;28;1
LI-CARDUCCI;PM10;20230310;38;1
LI-CARDUCCI;PM10;20230311;43;1
LI-CARDUCCI;PM10;20230312;28;1
LI-CARDUCCI;PM10;20230313;18;1
LI-CARDUCCI;PM10;20230314;30;1
LI-CARDUCCI;PM10;20230315;22;1
LI-CARDUCCI;PM10;20230316;15;1
LI-CARDUCCI;PM10;20230317;16;1
LI-CARDUCCI;PM10;20230318;17;1
LI-CARDUCCI;PM10;20230319;18;1
LI-CARDUCCI;PM10;20230320;24;1
LI-CARDUCCI;PM10;20230321;24;1
LI-CARDUCCI;PM10;20230322;20;1
LI-CARDUCCI;PM10;20230323;16;1
LI-CARDUCCI;PM10;20230324;13;1
LI-CARDUCCI;PM10;20230325;26;1
LI-CARDUCCI;PM10;20230326;24;1
LI-CARDUCCI;PM10;20230327;24;1
LI-CARDUCCI;PM10;20230328;13;1
LI-CARDUCCI;PM10;20230329;20;1
LI-CARDUCCI;PM10;20230330;18;1
LI-CARDUCCI;PM10;20230331;26;1
LI-CARDUCCI;PM10;20230401;34;1
LI-CARDUCCI;PM10;20230402;23;1
LI-CARDUCCI;PM10;20230403;17;1
LI-CARDUCCI;PM10;20230404;15;1
LI-CARDUCCI;PM10;20230405;NaN;0
LI-CARDUCCI;PM10;20230406;NaN;0
LI-CARDUCCI;PM10;20230407;NaN;0
LI-CARDUCCI;PM10;20230408;18;1
LI-CARDUCCI;PM10;20230409;15;1
LI-CARDUCCI;PM10;20230410;14;1
LI-CARDUCCI;PM10;20230411;16;1
LI-CARDUCCI;PM10;20230412;19;1
LI-CARDUCCI;PM10;20230413;25;1
LI-CARDUCCI;PM10;20230414;20;1
LI-CARDUCCI;PM10;20230415;13;1
LI-CARDUCCI;PM10;20230416;11;1
LI-CARDUCCI;PM10;20230417;12;1
LI-CARDUCCI;PM10;20230418;19;1
LI-CARDUCCI;PM10;20230419;12;1
LI-CARDUCCI;PM10;20230420;13;1
LI-CARDUCCI;PM10;20230421;20;1
LI-CARDUCCI;PM10;20230422;16;1
LI-CARDUCCI;PM10;20230423;13;1
LI-CARDUCCI;PM10;20230424;27;1
LI-CARDUCCI;PM10;20230425;25;1
LI-CARDUCCI;PM10;20230426;13;1
LI-CARDUCCI;PM10;20230427;18;1
LI-CARDUCCI;PM10;20230428;15;1
LI-CARDUCCI;PM10;20230429;15;1
LI-CARDUCCI;PM10;20230430;16;1
LI-CARDUCCI;PM10;20230501;12;1
LI-CARDUCCI;PM10;20230502;14;1
LI-CARDUCCI;PM10;20230503;10;1
LI-CARDUCCI;PM10;20230504;15;1
LI-CARDUCCI;PM10;20230505;17;1
LI-CARDUCCI;PM10;20230506;15;1
LI-CARDUCCI;PM10;20230507;13;1
LI-CARDUCCI;PM10;20230508;15;1
LI-CARDUCCI;PM10;20230509;20;1
LI-CARDUCCI;PM10;20230510;11;1
LI-CARDUCCI;PM10;20230511;14;1
LI-CARDUCCI;PM10;20230512;18;1
LI-CARDUCCI;PM10;20230513;12;1
LI-CARDUCCI;PM10;20230514;10;1
LI-CARDUCCI;PM10;20230515;13;1
LI-CARDUCCI;PM10;20230516;14;1
LI-CARDUCCI;PM10;20230517;12;1
LI-CARDUCCI;PM10;20230518;11;1
LI-CARDUCCI;PM10;20230519;10;1
LI-CARDUCCI;PM10;20230520;13;1
LI-CARDUCCI;PM10;20230521;17;1
LI-CARDUCCI;PM10;20230522;21;1
LI-CARDUCCI;PM10;20230523;22;1
LI-CARDUCCI;PM10;20230524;20;1
LI-CARDUCCI;PM10;20230525;26;1
LI-CARDUCCI;PM10;20230526;23;1
LI-CARDUCCI;PM10;20230527;22;1
LI-CARDUCCI;PM10;20230528;20;1
LI-CARDUCCI;PM10;20230529;24;1
LI-CARDUCCI;PM10;20230530;24;1
LI-CARDUCCI;PM10;20230531;18;1
LI-CARDUCCI;PM10;20230601;15;1
LI-CARDUCCI;PM10;20230602;13;1
LI-CARDUCCI;PM10;20230603;16;1
LI-CARDUCCI;PM10;20230604;13;1
LI-CARDUCCI;PM10;20230605;11;1
LI-CARDUCCI;PM10;20230606;12;1
LI-CARDUCCI;PM10;20230607;14;1
LI-CARDUCCI;PM10;20230608;15;1
LI-CARDUCCI;PM10;20230609;16;1
LI-CARDUCCI;PM10;20230610;17;1
LI-CARDUCCI;PM10;20230611;16;1
LI-CARDUCCI;PM10;20230612;17;1
LI-CARDUCCI;PM10;20230613;14;1
LI-CARDUCCI;PM10;20230614;12;1
LI-CARDUCCI;PM10;20230615;17;1
LI-CARDUCCI;PM10;20230616;18;1
LI-CARDUCCI;PM10;20230617;16;1
LI-CARDUCCI;PM10;20230618;15;1
LI-CARDUCCI;PM10;20230619;18;1
LI-CARDUCCI;PM10;20230620;NaN;0
LI-CARDUCCI;PM10;20230621;NaN;0
LI-CARDUCCI;PM10;20230622;NaN;0
LI-CARDUCCI;PM10;20230623;11;1
LI-CARDUCCI;PM10;20230624;18;1
LI-CARDUCCI;PM10;20230625;12;1
LI-CARDUCCI;PM10;20230626;23;1
LI-CARDUCCI;PM10;20230627;22;1
LI-CARDUCCI;PM10;20230628;22;1
LI-CARDUCCI;PM10;20230629;15;1
LI-CARDUCCI;PM10;20230630;20;1
LI-CARDUCCI;PM10;20230701;16;1
LI-CARDUCCI;PM10;20230702;18;1
LI-CARDUCCI;PM10;20230703;19;1
LI-CARDUCCI;PM10;20230704;23;1
LI-CARDUCCI;PM10;20230705;19;1
LI-CARDUCCI;PM10;20230706;18;1
LI-CARDUCCI;PM10;20230707;21;1
LI-CARDUCCI;PM10;20230708;19;1
LI-CARDUCCI;PM10;20230709;23;1
LI-CARDUCCI;PM10;20230710;27;1
LI-CARDUCCI;PM10;20230711;26;1
LI-CARDUCCI;PM10;20230712;30;1
LI-CARDUCCI;PM10;20230713;39;1
LI-CARDUCCI;PM10;20230714;36;1
LI-CARDUCCI;PM10;20230715;29;1
LI-CARDUCCI;PM10;20230716;30;1
LI-CARDUCCI;PM10;20230717;25;1
LI-CARDUCCI;PM10;20230718;26;1
LI-CARDUCCI;PM10;20230719;34;1
LI-CARDUCCI;PM10;20230720;34;1
LI-CARDUCCI;PM10;20230721;23;1
LI-CARDUCCI;PM10;20230722;25;1
LI-CARDUCCI;PM10;20230723;21;1
LI-CARDUCCI;PM10;20230724;42;1
LI-CARDUCCI;PM10;20230725;42;1
LI-CARDUCCI;PM10;20230726;28;1
LI-CARDUCCI;PM10;20230727;21;1
LI-CARDUCCI;PM10;20230728;17;1
LI-CARDUCCI;PM10;20230729;15;1
LI-CARDUCCI;PM10;20230730;15;1
LI-CARDUCCI;PM10;20230731;20;1
LI-CARDUCCI;PM10;20230801;24;1
LI-CARDUCCI;PM10;20230802;23;1
LI-CARDUCCI;PM10;20230803;20;1
LI-CARDUCCI;PM10;20230804;26;1
LI-CARDUCCI;PM10;20230805;13;1
LI-CARDUCCI;PM10;20230806;27;1
LI-CARDUCCI;PM10;20230807;22;1
LI-CARDUCCI;PM10;20230808;14;1
LI-CARDUCCI;PM10;20230809;14;1
LI-CARDUCCI;PM10;20230810;16;1
LI-CARDUCCI;PM10;20230811;NaN;0
LI-CARDUCCI;PM10;20230812;16;1
LI-CARDUCCI;PM10;20230813;16;1
LI-CARDUCCI;PM10;20230814;18;1
LI-CARDUCCI;PM10;20230815;20;1
LI-CARDUCCI;PM10;20230816;18;1
LI-CARDUCCI;PM10;20230817;22;1
LI-CARDUCCI;PM10;20230818;23;1
LI-CARDUCCI;PM10;20230819;26;1
LI-CARDUCCI;PM10;20230820;25;1
LI-CARDUCCI;PM10;20230821;30;1
LI-CARDUCCI;PM10;20230822;28;1
LI-CARDUCCI;PM10;20230823;25;1
LI-CARDUCCI;PM10;20230824;28;1
LI-CARDUCCI;PM10;20230825;NaN;0
LI-CARDUCCI;PM10;20230826;25;1
LI-CARDUCCI;PM10;20230827;28;1
LI-CARDUCCI;PM10;20230828;15;1
LI-CARDUCCI;PM10;20230829;10;1
LI-CARDUCCI;PM10;20230830;15;1
LI-CARDUCCI;PM10;20230831;20;1
LI-CARDUCCI;PM10;20230901;21;1
LI-CARDUCCI;PM10;20230902;18;1
LI-CARDUCCI;PM10;20230903;22;1
LI-CARDUCCI;PM10;20230904;20;1
LI-CARDUCCI;PM10;20230905;15;1
LI-CARDUCCI;PM10;20230906;18;1
LI-CARDUCCI;PM10;20230907;17;1
LI-CARDUCCI;PM10;20230908;22;1
LI-CARDUCCI;PM10;20230909;28;1
LI-CARDUCCI;PM10;20230910;24;1
LI-CARDUCCI;PM10;20230911;25;1
LI-CARDUCCI;PM10;20230912;23;1
LI-CARDUCCI;PM10;20230913;22;1
LI-CARDUCCI;PM10;20230914;21;1
LI-CARDUCCI;PM10;20230915;22;1
LI-CARDUCCI;PM10;20230916;19;1
LI-CARDUCCI;PM10;20230917;20;1
LI-CARDUCCI;PM10;20230918;NaN;0
LI-CARDUCCI;PM10;20230919;31;1
LI-CARDUCCI;PM10;20230920;NaN;0
LI-CARDUCCI;PM10;20230921;21;1
LI-CARDUCCI;PM10;20230922;20;1
LI-CARDUCCI;PM10;20230923;20;1
LI-CARDUCCI;PM10;20230924;13;1
LI-CARDUCCI;PM10;20230925;16;1
LI-CARDUCCI;PM10;20230926;22;1
LI-CARDUCCI;PM10;20230927;31;1
LI-CARDUCCI;PM10;20230928;33;1
LI-CARDUCCI;PM10;20230929;32;1
LI-CARDUCCI;PM10;20230930;30;1
LI-CARDUCCI;PM10;20231001;29;1
LI-CARDUCCI;PM10;20231002;30;1
LI-CARDUCCI;PM10;20231003;28;1
LI-CARDUCCI;PM10;20231004;24;1
LI-CARDUCCI;PM10;20231005;33;1
LI-CARDUCCI;PM10;20231006;33;1
LI-CARDUCCI;PM10;20231007;29;1
LI-CARDUCCI;PM10;20231008;26;1
LI-CARDUCCI;PM10;20231009;21;1
LI-CARDUCCI;PM10;20231010;23;1
LI-CARDUCCI;PM10;20231011;23;1
LI-CARDUCCI;PM10;20231012;23;1
LI-CARDUCCI;PM10;20231013;22;1
LI-CARDUCCI;PM10;20231014;26;1
LI-CARDUCCI;PM10;20231015;24;1
LI-CARDUCCI;PM10;20231016;18;1
LI-CARDUCCI;PM10;20231017;18;1
LI-CARDUCCI;PM10;20231018;14;1
LI-CARDUCCI;PM10;20231019;25;1
LI-CARDUCCI;PM10;20231020;37;1
LI-CARDUCCI;PM10;20231021;16;1
LI-CARDUCCI;PM10;20231022;17;1
LI-CARDUCCI;PM10;20231023;21;1
LI-CARDUCCI;PM10;20231024;27;1
LI-CARDUCCI;PM10;20231025;17;1
LI-CARDUCCI;PM10;20231026;17;1
LI-CARDUCCI;PM10;20231027;28;1
LI-CARDUCCI;PM10;20231028;17;1
LI-CARDUCCI;PM10;20231029;13;1
LI-CARDUCCI;PM10;20231030;19;1
LI-CARDUCCI;PM10;20231031;21;1
LI-CARDUCCI;PM10;20231101;17;1
LI-CARDUCCI;PM10;20231102;18;1
LI-CARDUCCI;PM10;20231103;25;1
LI-CARDUCCI;PM10;20231104;15;1
LI-CARDUCCI;PM10;20231105;25;1
LI-CARDUCCI;PM10;20231106;17;1
LI-CARDUCCI;PM10;20231107;14;1
LI-CARDUCCI;PM10;20231108;14;1
LI-CARDUCCI;PM10;20231109;11;1
LI-CARDUCCI;PM10;20231110;13;1
LI-CARDUCCI;PM10;20231111;21;1
LI-CARDUCCI;PM10;20231112;12;1
LI-CARDUCCI;PM10;20231113;20;1
LI-CARDUCCI;PM10;20231114;32;1
LI-CARDUCCI;PM10;20231115;34;1
LI-CARDUCCI;PM10;20231116;21;1
LI-CARDUCCI;PM10;20231117;29;1
LI-CARDUCCI;PM10;20231118;21;1
LI-CARDUCCI;PM10;20231119;26;1
LI-CARDUCCI;PM10;20231120;23;1
LI-CARDUCCI;PM10;20231121;16;1
LI-CARDUCCI;PM10;20231122;11;1
LI-CARDUCCI;PM10;20231123;13;1
LI-CARDUCCI;PM10;20231124;28;1
LI-CARDUCCI;PM10;20231125;22;1
LI-CARDUCCI;PM10;20231126;22;1
LI-CARDUCCI;PM10;20231127;24;1
LI-CARDUCCI;PM10;20231128;24;1
LI-CARDUCCI;PM10;20231129;28;1
LI-CARDUCCI;PM10;20231130;25;1
LI-CARDUCCI;PM10;20231201;57;1
LI-CARDUCCI;PM10;20231202;34;1
LI-CARDUCCI;PM10;20231203;11;1
LI-CARDUCCI;PM10;20231204;13;1
LI-CARDUCCI;PM10;20231205;18;1
LI-CARDUCCI;PM10;20231206;21;1
LI-CARDUCCI;PM10;20231207;17;1
LI-CARDUCCI;PM10;20231208;15;1
LI-CARDUCCI;PM10;20231209;17;1
LI-CARDUCCI;PM10;20231210;22;1
LI-CARDUCCI;PM10;20231211;21;1
LI-CARDUCCI;PM10;20231212;26;1
LI-CARDUCCI;PM10;20231213;22;1
LI-CARDUCCI;PM10;20231214;24;1
LI-CARDUCCI;PM10;20231215;26;1
LI-CARDUCCI;PM10;20231216;10;1
LI-CARDUCCI;PM10;20231217;24;1
LI-CARDUCCI;PM10;20231218;45;1
LI-CARDUCCI;PM10;20231219;44;1
LI-CARDUCCI;PM10;20231220;38;1
LI-CARDUCCI;PM10;20231221;36;1
LI-CARDUCCI;PM10;20231222;33;1
LI-CARDUCCI;PM10;20231223;32;1
LI-CARDUCCI;PM10;20231224;34;1
LI-CARDUCCI;PM10;20231225;24;1
LI-CARDUCCI;PM10;20231226;19;1
LI-CARDUCCI;PM10;20231227;26;1
LI-CARDUCCI;PM10;20231228;27;1
LI-CARDUCCI;PM10;20231229;25;1
LI-CARDUCCI;PM10;20231230;18;1
LI-CARDUCCI;PM10;20231231;18;1
