STAZIONE;PARAMETRO;DATA;MEDIA GIORNALIERA ;VALIDITA
LU-MICHELETTO;PM10;20200101;126;1
LU-MICHELETTO;PM10;20200102;105;1
LU-MICHELETTO;PM10;20200103;91;1
LU-MICHELETTO;PM10;20200104;77;1
LU-MICHELETTO;PM10;20200105;60;1
LU-MICHELETTO;PM10;20200106;56;1
LU-MICHELETTO;PM10;20200107;78;1
LU-MICHELETTO;PM10;20200108;88;1
LU-MICHELETTO;PM10;20200109;92;1
LU-MICHELETTO;PM10;20200110;84;1
LU-MICHELETTO;PM10;20200111;43;1
LU-MICHELETTO;PM10;20200112;43;1
LU-MICHELETTO;PM10;20200113;60;1
LU-MICHELETTO;PM10;20200114;70;1
LU-MICHELETTO;PM10;20200115;66;1
LU-MICHELETTO;PM10;20200116;48;1
LU-MICHELETTO;PM10;20200117;54;1
LU-MICHELETTO;PM10;20200118;28;1
LU-MICHELETTO;PM10;20200119;20;1
LU-MICHELETTO;PM10;20200120;16;1
LU-MICHELETTO;PM10;20200121;31;1
LU-MICHELETTO;PM10;20200122;58;1
LU-MICHELETTO;PM10;20200123;59;1
LU-MICHELETTO;PM10;20200124;64;1
LU-MICHELETTO;PM10;20200125;31;1
LU-MICHELETTO;PM10;20200126;38;1
LU-MICHELETTO;PM10;20200127;45;1
LU-MICHELETTO;PM10;20200128;23;1
LU-MICHELETTO;PM10;20200129;34;1
LU-MICHELETTO;PM10;20200130;29;1
LU-MICHELETTO;PM10;20200131;24;1
LU-MICHELETTO;PM10;20200201;24;1
LU-MICHELETTO;PM10;20200202;22;1
LU-MICHELETTO;PM10;20200203;33;1
LU-MICHELETTO;PM10;20200204;25;1
LU-MICHELETTO;PM10;20200205;7;1
LU-MICHELETTO;PM10;20200206;27;1
LU-MICHELETTO;PM10;20200207;35;1
LU-MICHELETTO;PM10;20200208;40;1
LU-MICHELETTO;PM10;20200209;54;1
LU-MICHELETTO;PM10;20200210;35;1
LU-MICHELETTO;PM10;20200211;45;1
LU-MICHELETTO;PM10;20200212;34;1
LU-MICHELETTO;PM10;20200213;23;1
LU-MICHELETTO;PM10;20200214;29;1
LU-MICHELETTO;PM10;20200215;29;1
LU-MICHELETTO;PM10;20200216;34;1
LU-MICHELETTO;PM10;20200217;38;1
LU-MICHELETTO;PM10;20200218;19;1
LU-MICHELETTO;PM10;20200219;23;1
LU-MICHELETTO;PM10;20200220;27;1
LU-MICHELETTO;PM10;20200221;35;1
LU-MICHELETTO;PM10;20200222;43;1
LU-MICHELETTO;PM10;20200223;30;1
LU-MICHELETTO;PM10;20200224;31;1
LU-MICHELETTO;PM10;20200225;43;1
LU-MICHELETTO;PM10;20200226;17;1
LU-MICHELETTO;PM10;20200227;7;1
LU-MICHELETTO;PM10;20200228;16;1
LU-MICHELETTO;PM10;20200229;41;1
LU-MICHELETTO;PM10;20200301;33;1
LU-MICHELETTO;PM10;20200302;18;1
LU-MICHELETTO;PM10;20200303;10;1
LU-MICHELETTO;PM10;20200304;22;1
LU-MICHELETTO;PM10;20200305;31;1
LU-MICHELETTO;PM10;20200306;21;1
LU-MICHELETTO;PM10;20200307;24;1
LU-MICHELETTO;PM10;20200308;21;1
LU-MICHELETTO;PM10;20200309;34;1
LU-MICHELETTO;PM10;20200310;25;1
LU-MICHELETTO;PM10;20200311;26;1
LU-MICHELETTO;PM10;20200312;38;1
LU-MICHELETTO;PM10;20200313;30;1
LU-MICHELETTO;PM10;20200314;28;1
LU-MICHELETTO;PM10;20200315;12;1
LU-MICHELETTO;PM10;20200316;20;1
LU-MICHELETTO;PM10;20200317;34;1
LU-MICHELETTO;PM10;20200318;41;1
LU-MICHELETTO;PM10;20200319;32;1
LU-MICHELETTO;PM10;20200320;31;1
LU-MICHELETTO;PM10;20200321;29;1
LU-MICHELETTO;PM10;20200322;26;1
LU-MICHELETTO;PM10;20200323;12;1
LU-MICHELETTO;PM10;20200324;13;1
LU-MICHELETTO;PM10;20200325;NaN;0
LU-MICHELETTO;PM10;20200326;9;1
LU-MICHELETTO;PM10;20200327;17;1
LU-MICHELETTO;PM10;20200328;94;1
LU-MICHELETTO;PM10;20200329;63;1
LU-MICHELETTO;PM10;20200330;40;1
LU-MICHELETTO;PM10;20200331;11;1
LU-MICHELETTO;PM10;20200401;12;1
LU-MICHELETTO;PM10;20200402;18;1
LU-MICHELETTO;PM10;20200403;25;1
LU-MICHELETTO;PM10;20200404;22;1
LU-MICHELETTO;PM10;20200405;23;1
LU-MICHELETTO;PM10;20200406;33;1
LU-MICHELETTO;PM10;20200407;35;1
LU-MICHELETTO;PM10;20200408;30;1
LU-MICHELETTO;PM10;20200409;25;1
LU-MICHELETTO;PM10;20200410;28;1
LU-MICHELETTO;PM10;20200411;22;1
LU-MICHELETTO;PM10;20200412;18;1
LU-MICHELETTO;PM10;20200413;17;1
LU-MICHELETTO;PM10;20200414;13;1
LU-MICHELETTO;PM10;20200415;15;1
LU-MICHELETTO;PM10;20200416;23;1
LU-MICHELETTO;PM10;20200417;28;1
LU-MICHELETTO;PM10;20200418;31;1
