STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
LU-MICHELETTO;PM10;20210101;19;1
LU-MICHELETTO;PM10;20210102;13;1
LU-MICHELETTO;PM10;20210103;14;1
LU-MICHELETTO;PM10;20210104;23;1
LU-MICHELETTO;PM10;20210105;18;1
LU-MICHELETTO;PM10;20210106;20;1
LU-MICHELETTO;PM10;20210107;37;1
LU-MICHELETTO;PM10;20210108;34;1
LU-MICHELETTO;PM10;20210109;28;1
LU-MICHELETTO;PM10;20210110;11;1
LU-MICHELETTO;PM10;20210111;21;1
LU-MICHELETTO;PM10;20210112;37;1
LU-MICHELETTO;PM10;20210113;56;1
LU-MICHELETTO;PM10;20210114;46;1
LU-MICHELETTO;PM10;20210115;24;1
LU-MICHELETTO;PM10;20210116;34;1
LU-MICHELETTO;PM10;20210117;53;1
LU-MICHELETTO;PM10;20210118;66;1
LU-MICHELETTO;PM10;20210119;61;1
LU-MICHELETTO;PM10;20210120;52;1
LU-MICHELETTO;PM10;20210121;50;1
LU-MICHELETTO;PM10;20210122;12;1
LU-MICHELETTO;PM10;20210123;11;1
LU-MICHELETTO;PM10;20210124;17;1
LU-MICHELETTO;PM10;20210125;29;1
LU-MICHELETTO;PM10;20210126;45;1
LU-MICHELETTO;PM10;20210127;50;1
LU-MICHELETTO;PM10;20210128;64;1
LU-MICHELETTO;PM10;20210129;44;1
LU-MICHELETTO;PM10;20210130;35;1
LU-MICHELETTO;PM10;20210131;19;1
LU-MICHELETTO;PM10;20210201;34;1
LU-MICHELETTO;PM10;20210202;38;1
LU-MICHELETTO;PM10;20210203;40;1
LU-MICHELETTO;PM10;20210204;36;1
LU-MICHELETTO;PM10;20210205;48;1
LU-MICHELETTO;PM10;20210206;58;1
LU-MICHELETTO;PM10;20210207;35;1
LU-MICHELETTO;PM10;20210208;14;1
LU-MICHELETTO;PM10;20210209;15;1
LU-MICHELETTO;PM10;20210210;19;1
LU-MICHELETTO;PM10;20210211;34;1
LU-MICHELETTO;PM10;20210212;19;1
LU-MICHELETTO;PM10;20210213;12;1
LU-MICHELETTO;PM10;20210214;21;1
LU-MICHELETTO;PM10;20210215;32;1
LU-MICHELETTO;PM10;20210216;48;1
LU-MICHELETTO;PM10;20210217;18;1
LU-MICHELETTO;PM10;20210218;40;1
LU-MICHELETTO;PM10;20210219;32;1
LU-MICHELETTO;PM10;20210220;33;1
LU-MICHELETTO;PM10;20210221;33;1
LU-MICHELETTO;PM10;20210222;46;1
LU-MICHELETTO;PM10;20210223;47;1
LU-MICHELETTO;PM10;20210224;74;1
LU-MICHELETTO;PM10;20210225;54;1
LU-MICHELETTO;PM10;20210226;64;1
LU-MICHELETTO;PM10;20210227;79;1
LU-MICHELETTO;PM10;20210228;16;1
LU-MICHELETTO;PM10;20210301;30;1
LU-MICHELETTO;PM10;20210302;37;1
LU-MICHELETTO;PM10;20210303;43;1
LU-MICHELETTO;PM10;20210304;41;1
LU-MICHELETTO;PM10;20210305;45;1
LU-MICHELETTO;PM10;20210306;30;1
LU-MICHELETTO;PM10;20210307;24;1
LU-MICHELETTO;PM10;20210308;36;1
LU-MICHELETTO;PM10;20210309;26;1
LU-MICHELETTO;PM10;20210310;32;1
LU-MICHELETTO;PM10;20210311;42;1
