STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA;VALIDITA
LU-MICHELETTO;PM10;20220101;51;1
LU-MICHELETTO;PM10;20220102;22;1
LU-MICHELETTO;PM10;20220103;27;1
LU-MICHELETTO;PM10;20220104;22;1
LU-MICHELETTO;PM10;20220105;12;1
LU-MICHELETTO;PM10;20220106;6;1
LU-MICHELETTO;PM10;20220107;19;1
LU-MICHELETTO;PM10;20220108;40;1
LU-MICHELETTO;PM10;20220109;38;1
LU-MICHELETTO;PM10;20220110;29;1
LU-MICHELETTO;PM10;20220111;23;1
LU-MICHELETTO;PM10;20220112;18;1
LU-MICHELETTO;PM10;20220113;36;1
LU-MICHELETTO;PM10;20220114;61;1
LU-MICHELETTO;PM10;20220115;88;1
LU-MICHELETTO;PM10;20220116;50;1
LU-MICHELETTO;PM10;20220117;48;1
LU-MICHELETTO;PM10;20220118;48;1
LU-MICHELETTO;PM10;20220119;60;1
LU-MICHELETTO;PM10;20220120;44;1
LU-MICHELETTO;PM10;20220121;38;1
LU-MICHELETTO;PM10;20220122;41;1
LU-MICHELETTO;PM10;20220123;55;1
LU-MICHELETTO;PM10;20220124;73;1
LU-MICHELETTO;PM10;20220125;65;1
LU-MICHELETTO;PM10;20220126;74;1
LU-MICHELETTO;PM10;20220127;54;1
LU-MICHELETTO;PM10;20220128;34;1
LU-MICHELETTO;PM10;20220129;40;1
LU-MICHELETTO;PM10;20220130;30;1
LU-MICHELETTO;PM10;20220131;35;1
LU-MICHELETTO;PM10;20220201;21;1
LU-MICHELETTO;PM10;20220202;46;1
LU-MICHELETTO;PM10;20220203;48;1
LU-MICHELETTO;PM10;20220204;62;1
LU-MICHELETTO;PM10;20220205;47;1
LU-MICHELETTO;PM10;20220206;32;1
LU-MICHELETTO;PM10;20220207;26;1
LU-MICHELETTO;PM10;20220208;28;1
LU-MICHELETTO;PM10;20220209;45;1
LU-MICHELETTO;PM10;20220210;33;1
LU-MICHELETTO;PM10;20220211;43;1
LU-MICHELETTO;PM10;20220212;26;1
LU-MICHELETTO;PM10;20220213;28;1
LU-MICHELETTO;PM10;20220214;39;1
LU-MICHELETTO;PM10;20220215;25;1
LU-MICHELETTO;PM10;20220216;34;1
LU-MICHELETTO;PM10;20220217;36;1
LU-MICHELETTO;PM10;20220218;45;1
LU-MICHELETTO;PM10;20220219;41;1
LU-MICHELETTO;PM10;20220220;26;1
LU-MICHELETTO;PM10;20220221;24;1
LU-MICHELETTO;PM10;20220222;18;1
LU-MICHELETTO;PM10;20220223;32;1
LU-MICHELETTO;PM10;20220224;34;1
LU-MICHELETTO;PM10;20220225;29;1
LU-MICHELETTO;PM10;20220226;8;1
LU-MICHELETTO;PM10;20220227;14;1
LU-MICHELETTO;PM10;20220228;31;1
LU-MICHELETTO;PM10;20220301;20;1
LU-MICHELETTO;PM10;20220302;35;1
LU-MICHELETTO;PM10;20220303;45;1
LU-MICHELETTO;PM10;20220304;37;1
LU-MICHELETTO;PM10;20220305;24;1
LU-MICHELETTO;PM10;20220306;34;1
LU-MICHELETTO;PM10;20220307;36;1
LU-MICHELETTO;PM10;20220308;37;1
LU-MICHELETTO;PM10;20220309;38;1
LU-MICHELETTO;PM10;20220310;47;1
LU-MICHELETTO;PM10;20220311;44;1
LU-MICHELETTO;PM10;20220312;35;1
LU-MICHELETTO;PM10;20220313;31;1
LU-MICHELETTO;PM10;20220314;NaN;0
LU-MICHELETTO;PM10;20220315;37;1
LU-MICHELETTO;PM10;20220316;37;1
LU-MICHELETTO;PM10;20220317;54;1
LU-MICHELETTO;PM10;20220318;36;1
LU-MICHELETTO;PM10;20220319;28;1
LU-MICHELETTO;PM10;20220320;33;1
LU-MICHELETTO;PM10;20220321;29;1
LU-MICHELETTO;PM10;20220322;40;1
LU-MICHELETTO;PM10;20220323;41;1
LU-MICHELETTO;PM10;20220324;42;1
LU-MICHELETTO;PM10;20220325;43;1
LU-MICHELETTO;PM10;20220326;46;1
LU-MICHELETTO;PM10;20220327;44;1
LU-MICHELETTO;PM10;20220328;39;1
LU-MICHELETTO;PM10;20220329;38;1
LU-MICHELETTO;PM10;20220330;23;1
LU-MICHELETTO;PM10;20220331;6;1
LU-MICHELETTO;PM10;20220401;26;1
LU-MICHELETTO;PM10;20220402;11;1
LU-MICHELETTO;PM10;20220403;21;1
LU-MICHELETTO;PM10;20220404;18;1
LU-MICHELETTO;PM10;20220405;22;1
LU-MICHELETTO;PM10;20220406;24;1
LU-MICHELETTO;PM10;20220407;25;1
LU-MICHELETTO;PM10;20220408;29;1
LU-MICHELETTO;PM10;20220409;35;1
LU-MICHELETTO;PM10;20220410;15;1
LU-MICHELETTO;PM10;20220411;18;1
LU-MICHELETTO;PM10;20220412;21;1
LU-MICHELETTO;PM10;20220413;26;1
