STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
PI-BORGHETTO;PM10;20230101;46;1
PI-BORGHETTO;PM10;20230102;29;1
PI-BORGHETTO;PM10;20230103;37;1
PI-BORGHETTO;PM10;20230104;44;1
PI-BORGHETTO;PM10;20230105;34;1
PI-BORGHETTO;PM10;20230106;35;1
PI-BORGHETTO;PM10;20230107;31;1
PI-BORGHETTO;PM10;20230108;16;1
PI-BORGHETTO;PM10;20230109;21;1
PI-BORGHETTO;PM10;20230110;32;1
PI-BORGHETTO;PM10;20230111;34;1
PI-BORGHETTO;PM10;20230112;24;1
PI-BORGHETTO;PM10;20230113;39;1
PI-BORGHETTO;PM10;20230114;NaN;0
PI-BORGHETTO;PM10;20230115;NaN;0
PI-BORGHETTO;PM10;20230116;NaN;0
PI-BORGHETTO;PM10;20230117;11;1
PI-BORGHETTO;PM10;20230118;14;1
PI-BORGHETTO;PM10;20230119;12;1
PI-BORGHETTO;PM10;20230120;19;1
PI-BORGHETTO;PM10;20230121;20;1
PI-BORGHETTO;PM10;20230122;10;1
PI-BORGHETTO;PM10;20230123;9;1
PI-BORGHETTO;PM10;20230124;15;1
PI-BORGHETTO;PM10;20230125;12;1
PI-BORGHETTO;PM10;20230126;18;1
PI-BORGHETTO;PM10;20230127;15;1
PI-BORGHETTO;PM10;20230128;13;1
PI-BORGHETTO;PM10;20230129;19;1
PI-BORGHETTO;PM10;20230130;37;1
PI-BORGHETTO;PM10;20230131;37;1
PI-BORGHETTO;PM10;20230201;47;1
PI-BORGHETTO;PM10;20230202;37;1
PI-BORGHETTO;PM10;20230203;32;1
PI-BORGHETTO;PM10;20230204;32;1
PI-BORGHETTO;PM10;20230205;14;1
PI-BORGHETTO;PM10;20230206;12;1
PI-BORGHETTO;PM10;20230207;14;1
PI-BORGHETTO;PM10;20230208;18;1
PI-BORGHETTO;PM10;20230209;20;1
PI-BORGHETTO;PM10;20230210;43;1
PI-BORGHETTO;PM10;20230211;51;1
PI-BORGHETTO;PM10;20230212;51;1
PI-BORGHETTO;PM10;20230213;44;1
PI-BORGHETTO;PM10;20230214;51;1
PI-BORGHETTO;PM10;20230215;NaN;0
PI-BORGHETTO;PM10;20230216;NaN;0
PI-BORGHETTO;PM10;20230217;NaN;0
PI-BORGHETTO;PM10;20230218;44;1
PI-BORGHETTO;PM10;20230219;25;1
PI-BORGHETTO;PM10;20230220;30;1
PI-BORGHETTO;PM10;20230221;34;1
PI-BORGHETTO;PM10;20230222;40;1
PI-BORGHETTO;PM10;20230223;33;1
PI-BORGHETTO;PM10;20230224;30;1
PI-BORGHETTO;PM10;20230225;35;1
PI-BORGHETTO;PM10;20230226;11;1
PI-BORGHETTO;PM10;20230227;5;1
PI-BORGHETTO;PM10;20230228;9;1
PI-BORGHETTO;PM10;20230301;11;1
PI-BORGHETTO;PM10;20230302;NaN;0
PI-BORGHETTO;PM10;20230303;23;1
PI-BORGHETTO;PM10;20230304;32;1
PI-BORGHETTO;PM10;20230305;36;1
PI-BORGHETTO;PM10;20230306;23;1
PI-BORGHETTO;PM10;20230307;23;1
