STAZIONE;PARAMETRO;DATA;MEDIA GIORNALIERA ;VALIDITA
PO-FERRUCCI;PM10;20200101;148;1
PO-FERRUCCI;PM10;20200102;85;1
PO-FERRUCCI;PM10;20200103;95;1
PO-FERRUCCI;PM10;20200104;84;1
PO-FERRUCCI;PM10;20200105;64;1
PO-FERRUCCI;PM10;20200106;61;1
PO-FERRUCCI;PM10;20200107;76;1
PO-FERRUCCI;PM10;20200108;32;1
PO-FERRUCCI;PM10;20200109;70;1
PO-FERRUCCI;PM10;20200110;82;1
PO-FERRUCCI;PM10;20200111;43;1
PO-FERRUCCI;PM10;20200112;21;1
PO-FERRUCCI;PM10;20200113;52;1
PO-FERRUCCI;PM10;20200114;80;1
PO-FERRUCCI;PM10;20200115;82;1
PO-FERRUCCI;PM10;20200116;56;1
PO-FERRUCCI;PM10;20200117;68;1
PO-FERRUCCI;PM10;20200118;18;1
PO-FERRUCCI;PM10;20200119;6;1
PO-FERRUCCI;PM10;20200120;8;1
PO-FERRUCCI;PM10;20200121;16;1
PO-FERRUCCI;PM10;20200122;53;1
PO-FERRUCCI;PM10;20200123;58;1
PO-FERRUCCI;PM10;20200124;68;1
PO-FERRUCCI;PM10;20200125;25;1
PO-FERRUCCI;PM10;20200126;34;1
PO-FERRUCCI;PM10;20200127;NaN;0
PO-FERRUCCI;PM10;20200128;24;1
PO-FERRUCCI;PM10;20200129;39;1
PO-FERRUCCI;PM10;20200130;34;1
PO-FERRUCCI;PM10;20200131;21;1
PO-FERRUCCI;PM10;20200201;15;1
PO-FERRUCCI;PM10;20200202;17;1
PO-FERRUCCI;PM10;20200203;32;1
PO-FERRUCCI;PM10;20200204;26;1
PO-FERRUCCI;PM10;20200205;9;1
PO-FERRUCCI;PM10;20200206;21;1
PO-FERRUCCI;PM10;20200207;34;1
PO-FERRUCCI;PM10;20200208;41;1
PO-FERRUCCI;PM10;20200209;54;1
PO-FERRUCCI;PM10;20200210;34;1
PO-FERRUCCI;PM10;20200211;46;1
PO-FERRUCCI;PM10;20200212;35;1
