"Stazione";"Quercianella"
"Codice";"TOS11000513"
"Comune";"Livorno"
"Provincia";"LI"
"GB [m]";"E";1609020;"N";4814970
"WGS84 [°]";"Lat";43.480;"Lon";10.348
"Quota [m]";244,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore -9999 corrisponde a dato mancante
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
04/06/2004;;
05/06/2004;;
06/06/2004;;
07/06/2004;;
08/06/2004;;
09/06/2004;;
10/06/2004;;
11/06/2004;;
12/06/2004;;
13/06/2004;;
14/06/2004;;
15/06/2004;;
16/06/2004;;
17/06/2004;;
18/06/2004;;
19/06/2004;;
20/06/2004;;
21/06/2004;;
22/06/2004;;
23/06/2004;;
24/06/2004;;
25/06/2004;;
26/06/2004;;
27/06/2004;;
28/06/2004;;
29/06/2004;;
30/06/2004;;
01/07/2004;28.0;17.0
02/07/2004;28.7;17.5
03/07/2004;27.2;17.0
04/07/2004;27.6;16.5
05/07/2004;28.0;16.4
06/07/2004;29.0;19.2
07/07/2004;30.5;21.3
08/07/2004;31.7;22.0
09/07/2004;25.0;17.5
10/07/2004;25.8;18.5
11/07/2004;24.5;17.2
12/07/2004;26.3;16.1
13/07/2004;26.0;16.1
14/07/2004;27.8;15.9
15/07/2004;25.8;16.9
16/07/2004;27.1;16.7
17/07/2004;32.3;18.3
18/07/2004;29.6;20.0
19/07/2004;30.4;22.2
20/07/2004;31.4;20.4
21/07/2004;32.3;20.2
22/07/2004;29.7;20.4
23/07/2004;31.2;20.7
24/07/2004;31.9;20.0
25/07/2004;26.4;18.0
26/07/2004;32.4;20.7
27/07/2004;32.4;20.9
28/07/2004;29.6;19.1
29/07/2004;30.3;19.3
30/07/2004;27.8;19.0
31/07/2004;28.8;19.4
01/08/2004;29.4;19.5
02/08/2004;31.2;19.9
03/08/2004;30.7;20.7
04/08/2004;32.6;21.5
05/08/2004;32.4;17.1
06/08/2004;28.5;18.2
07/08/2004;28.5;19.8
08/08/2004;30.6;20.1
09/08/2004;30.5;20.9
10/08/2004;33.8;21.3
11/08/2004;32.1;21.5
12/08/2004;29.6;21.7
13/08/2004;29.9;21.8
14/08/2004;27.9;20.0
15/08/2004;29.7;20.0
16/08/2004;33.4;20.4
17/08/2004;31.6;20.1
18/08/2004;27.1;21.3
19/08/2004;29.3;22.3
20/08/2004;32.2;22.3
21/08/2004;26.6;20.0
22/08/2004;27.8;18.2
23/08/2004;27.1;17.5
24/08/2004;29.5;18.3
25/08/2004;31.8;20.4
26/08/2004;25.2;19.0
27/08/2004;29.7;18.3
28/08/2004;31.1;17.8
29/08/2004;30.4;18.2
30/08/2004;30.3;18.8
31/08/2004;28.5;18.2
01/09/2004;27.8;17.2
02/09/2004;31.8;17.9
03/09/2004;31.9;19.7
04/09/2004;31.2;20.0
05/09/2004;32.4;21.3
06/09/2004;30.9;19.8
07/09/2004;31.5;20.4
08/09/2004;31.3;19.9
09/09/2004;32.2;19.0
10/09/2004;30.3;18.3
11/09/2004;29.8;18.8
12/09/2004;28.6;18.9
13/09/2004;30.8;19.2
14/09/2004;26.6;16.5
15/09/2004;23.3;17.2
16/09/2004;24.6;17.5
17/09/2004;19.6;15.3
18/09/2004;28.0;17.3
19/09/2004;25.5;17.4
20/09/2004;27.5;16.8
21/09/2004;26.3;17.5
22/09/2004;24.9;16.8
23/09/2004;28.6;17.1
24/09/2004;23.1;11.4
25/09/2004;23.1;11.5
26/09/2004;23.8;14.3
27/09/2004;24.1;13.9
28/09/2004;24.4;14.6
29/09/2004;23.0;14.3
30/09/2004;23.9;16.5
01/10/2004;23.0;15.9
02/10/2004;24.0;16.5
03/10/2004;23.5;16.6
04/10/2004;24.7;17.2
05/10/2004;25.8;16.2
06/10/2004;24.8;16.6
07/10/2004;24.1;17.2
08/10/2004;24.7;18.1
